,Property,Supplier1_Comparative_Mining,Title,Importance,Level,Data type,Number of entries,Number of unique entries,List up to 100 unique entries to view the structure of the event attributes,Length of the list of up to 100 unique entries,Number of duplicate entries,Number of undefined entries,Percentage of undefined entries
10,case Spend classification text,Supplier1_Comparative_Mining,case Spend classification text,Additional attribute,Case level,string,349524,3,"['NPR', 'OTHER', <NA>, 'PR']",4,349521,2626,0.75
11,case Source,Supplier1_Comparative_Mining,case Source,Additional attribute,Case level,string,349524,1,['sourceSystemID_0000'],1,349523,0,0
12,case Name,Supplier1_Comparative_Mining,case Name,Additional attribute,Case level,string,349524,1300,"['vendor_0000', 'vendor_0001', 'vendor_0002', 'vendor_0003', 'vendor_0004', 'vendor_0005', 'vendor_0006', 'vendor_0007', 'vendor_0008', 'vendor_0009', 'vendor_0010', 'vendor_0011', 'vendor_0012', 'vendor_0013', 'vendor_0014', 'vendor_0015', 'vendor_0016', 'vendor_0017', 'vendor_0018', 'vendor_0019', 'vendor_0020', 'vendor_0021', 'vendor_0022', 'vendor_0023', 'vendor_0024', 'vendor_0025', 'vendor_0026', 'vendor_0027', 'vendor_0028', 'vendor_0029', 'vendor_0030', 'vendor_0031', 'vendor_0032', 'vendor_0033', 'vendor_0034', 'vendor_0035', 'vendor_0036', 'vendor_0037', 'vendor_0038', 'vendor_0039', 'vendor_0040', 'vendor_0041', 'vendor_0042', 'vendor_0043', 'vendor_0044', 'vendor_0045', 'vendor_0046', 'vendor_0047', 'vendor_0048', 'vendor_0049', 'vendor_0050', 'vendor_0051', 'vendor_0052', 'vendor_0053', 'vendor_0054', 'vendor_0055', 'vendor_0056', 'vendor_0057', 'vendor_0058', 'vendor_0059', 'vendor_0060', 'vendor_0061', 'vendor_0062', 'vendor_0063', 'vendor_0064', 'vendor_0065', 'vendor_0066', 'vendor_0067', 'vendor_0068', 'vendor_0069', 'vendor_0070', 'vendor_0071', 'vendor_0072', 'vendor_0073', 'vendor_0074', 'vendor_0075', 'vendor_0076', 'vendor_0077', 'vendor_0078', 'vendor_0079', 'vendor_0080', 'vendor_0081', 'vendor_0082', 'vendor_0083', 'vendor_0084', 'vendor_0085', 'vendor_0086', 'vendor_0087', 'vendor_0088', 'vendor_0089', 'vendor_0090', 'vendor_0091', 'vendor_0092', 'vendor_0093', 'vendor_0094', 'vendor_0095', 'vendor_0096', 'vendor_0097', 'vendor_0098', 'vendor_0099']",100,348224,0,0
13,case GR-Based Inv. Verif.,Supplier1_Comparative_Mining,case GR-Based Inv. Verif.,Additional attribute,Case level,bool,349524,2,"[False, True]",2,349522,0,0
14,case Item,Supplier1_Comparative_Mining,case Item,Additional attribute,Case level,int64,349524,273,"[1, 2, 3, 4, 5, 6, 10, 11, 7, 8, 9, 20, 30, 40, 100, 50, 60, 70, 80, 90, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",100,349251,0,0
15,case concept:name,Supplier1_Comparative_Mining,case concept:name,Additional attribute,Case level,string,349524,53103,"['2000000000_00001', '2000000001_00001', '2000000002_00001', '2000000003_00001', '2000000003_00002', '2000000003_00003', '2000000004_00001', '2000000005_00001', '2000000005_00002', '2000000006_00001', '2000000007_00001', '2000000008_00001', '2000000009_00001', '2000000010_00001', '2000000011_00001', '2000000012_00001', '2000000013_00001', '2000000014_00001', '2000000015_00001', '2000000016_00001', '2000000017_00001', '2000000018_00001', '2000000019_00001', '2000000020_00001', '2000000021_00001', '2000000022_00001', '2000000023_00001', '2000000024_00001', '2000000025_00001', '2000000026_00001', '2000000026_00002', '2000000027_00001', '2000000028_00001', '2000000029_00001', '2000000029_00002', '2000000029_00003', '2000000030_00001', '2000000031_00001', '2000000032_00001', '2000000033_00001', '2000000034_00001', '2000000035_00001', '2000000036_00001', '2000000037_00001', '2000000037_00002', '2000000037_00003', '2000000038_00001', '2000000039_00001', '2000000039_00002', '2000000040_00001', '2000000041_00001', '2000000042_00001', '2000000043_00001', '2000000044_00001', '2000000045_00001', '2000000045_00002', '2000000046_00001', '2000000047_00001', '2000000048_00001', '2000000049_00001', '2000000050_00001', '2000000051_00001', '2000000052_00001', '2000000053_00001', '2000000054_00001', '2000000054_00002', '2000000054_00003', '2000000054_00004', '2000000055_00001', '2000000056_00001', '2000000057_00001', '2000000058_00001', '2000000059_00001', '2000000060_00001', '2000000061_00001', '2000000062_00001', '2000000063_00001', '2000000064_00001', '2000000065_00001', '2000000066_00001', '2000000067_00001', '2000000068_00001', '2000000069_00001', '2000000070_00001', '2000000071_00001', '2000000072_00001', '2000000073_00001', '2000000074_00001', '2000000075_00001', '2000000076_00001', '2000000076_00002', '2000000076_00003', '2000000077_00001', '2000000077_00002', '2000000078_00001', '2000000079_00001', '2000000079_00002', '2000000079_00003', '2000000080_00001', '2000000080_00002']",100,296421,0,0
16,case Goods Receipt,Supplier1_Comparative_Mining,case Goods Receipt,Additional attribute,Case level,bool,349524,1,[True],1,349523,0,0
17,event User,Supplier1_Comparative_Mining,event User,Additional attribute,Event level,string,349524,366,"['batch_00', 'user_000', 'NONE', 'user_001', 'user_002', 'user_004', 'user_005', 'user_006', 'user_007', 'user_008', 'user_011', 'user_009', 'user_012', 'user_013', 'user_014', 'user_015', 'user_018', 'user_016', 'user_019', 'user_010', 'batch_01', 'user_022', 'user_023', 'user_020', 'user_024', 'user_025', 'user_026', 'batch_02', 'user_028', 'user_112', 'user_339', 'user_083', 'user_340', 'user_341', 'user_196', 'batch_03', 'user_029', 'user_030', 'batch_04', 'user_031', 'user_032', 'user_033', 'user_034', 'user_035', 'user_036', 'user_037', 'user_038', 'user_039', 'user_040', 'user_041', 'user_042', 'user_043', 'user_044', 'user_045', 'user_046', 'user_049', 'user_047', 'user_048', 'user_050', 'user_051', 'batch_05', 'user_052', 'user_053', 'user_054', 'user_055', 'user_056', 'user_057', 'user_058', 'user_059', 'user_060', 'user_061', 'user_062', 'user_063', 'user_064', 'user_065', 'user_066', 'user_067', 'user_068', 'user_069', 'user_070', 'user_071', 'user_072', 'batch_06', 'user_074', 'user_075', 'user_076', 'user_077', 'user_078', 'user_079', 'user_080', 'user_081', 'user_082', 'user_084', 'user_085', 'user_086', 'user_087', 'user_088', 'user_089', 'user_090', 'user_091']",100,349158,0,0
18,event org:resource,Supplier1_Comparative_Mining,event org:resource,Additional attribute,Event level,string,349524,366,"['batch_00', 'user_000', 'NONE', 'user_001', 'user_002', 'user_004', 'user_005', 'user_006', 'user_007', 'user_008', 'user_011', 'user_009', 'user_012', 'user_013', 'user_014', 'user_015', 'user_018', 'user_016', 'user_019', 'user_010', 'batch_01', 'user_022', 'user_023', 'user_020', 'user_024', 'user_025', 'user_026', 'batch_02', 'user_028', 'user_112', 'user_339', 'user_083', 'user_340', 'user_341', 'user_196', 'batch_03', 'user_029', 'user_030', 'batch_04', 'user_031', 'user_032', 'user_033', 'user_034', 'user_035', 'user_036', 'user_037', 'user_038', 'user_039', 'user_040', 'user_041', 'user_042', 'user_043', 'user_044', 'user_045', 'user_046', 'user_049', 'user_047', 'user_048', 'user_050', 'user_051', 'batch_05', 'user_052', 'user_053', 'user_054', 'user_055', 'user_056', 'user_057', 'user_058', 'user_059', 'user_060', 'user_061', 'user_062', 'user_063', 'user_064', 'user_065', 'user_066', 'user_067', 'user_068', 'user_069', 'user_070', 'user_071', 'user_072', 'batch_06', 'user_074', 'user_075', 'user_076', 'user_077', 'user_078', 'user_079', 'user_080', 'user_081', 'user_082', 'user_084', 'user_085', 'user_086', 'user_087', 'user_088', 'user_089', 'user_090', 'user_091']",100,349158,0,0
19,event Cumulative net worth (EUR),Supplier1_Comparative_Mining,event Cumulative net worth (EUR),Additional attribute,Event level,int64,349524,10653,"[298, 557, 76210, 28, 37, 44, 166, 433, 86, 37819, 3227, 18186, 1039, 1668264, 112583, 320, 857, 17414, 457836, 405009, 372390, 950029, 502814, 155884, 277128, 4312806, 22251, 58196, 1368, 74, 45, 6754, 83, 19, 5, 549, 1098, 22, 106, 12852, 3065, 6903, 938, 34, 63, 57, 428, 127, 3464, 260, 64, 181, 646, 49, 173, 649519, 828, 412, 2726, 33, 2165, 43, 179, 23, 526, 459, 433012, 41569, 339481, 190525, 356802, 304840, 207846, 138564, 259807, 294448, 381051, 495366, 242487, 346410, 132, 147, 51, 159, 21, 5897, 141, 113, 121, 362, 77, 60, 710, 124, 98, 88, 65, 418, 41, 40]",100,338871,0,0
