,Property,Supplier2_Comparative_Mining,Title,Importance,Level,Data type,Number of entries,Number of unique entries,List up to 100 unique entries to view the structure of the event attributes,Length of the list of up to 100 unique entries,Number of duplicate entries,Number of undefined entries,Percentage of undefined entries
10,case Spend classification text,Supplier2_Comparative_Mining,case Spend classification text,Additional attribute,Case level,string,349526,4,"['NPR', 'PR', 'OTHER', 'undefined', <NA>]",5,349522,11,0
11,case Source,Supplier2_Comparative_Mining,case Source,Additional attribute,Case level,string,349526,1,"['sourceSystemID_0000', <NA>]",2,349525,11,0
12,case Name,Supplier2_Comparative_Mining,case Name,Additional attribute,Case level,string,349526,1050,"['vendor_0457', 'vendor_0106', 'vendor_0103', 'vendor_0104', 'vendor_0105', 'vendor_0276', 'vendor_0115', 'vendor_0114', 'vendor_0720', 'vendor_0231', 'vendor_0232', 'vendor_0721', 'vendor_0120', 'vendor_0234', 'vendor_1079', 'vendor_0646', 'vendor_0685', 'vendor_0647', 'vendor_1065', 'vendor_0188', 'vendor_0119', 'vendor_0453', 'vendor_0240', 'vendor_0241', 'vendor_0293', 'vendor_0894', 'vendor_0370', 'vendor_0110', 'vendor_0137', 'vendor_0062', 'vendor_0144', 'vendor_0473', 'vendor_0134', 'vendor_0165', 'vendor_0219', 'vendor_0257', 'vendor_0839', 'vendor_0272', 'vendor_0421', 'vendor_0126', 'vendor_0239', 'vendor_0238', 'vendor_0291', 'vendor_0113', 'vendor_0275', 'vendor_0132', 'vendor_0237', 'vendor_0129', 'vendor_0429', 'vendor_0804', 'vendor_0435', 'vendor_0107', 'vendor_0361', 'vendor_0150', 'vendor_0920', 'vendor_0060', 'vendor_0135', 'vendor_0125', 'vendor_0271', 'vendor_0216', 'vendor_0164', 'vendor_1086', 'vendor_0143', 'vendor_0142', 'vendor_0876', 'vendor_0138', 'vendor_0278', 'vendor_0508', 'vendor_0475', 'vendor_0406', 'vendor_0410', 'vendor_0189', 'vendor_0269', 'vendor_0443', 'vendor_0290', 'vendor_1269', 'vendor_0270', 'vendor_0294', 'vendor_0490', 'vendor_1270', 'vendor_0194', 'vendor_0431', 'vendor_0597', 'vendor_0149', 'vendor_0594', 'vendor_0889', 'vendor_0312', 'vendor_0305', 'vendor_0314', 'vendor_0166', 'vendor_0565', 'vendor_0303', 'vendor_1052', 'vendor_0127', 'vendor_0764', 'vendor_0116', 'vendor_0317', 'vendor_0596', 'vendor_0722', 'vendor_0036']",100,348476,11,0
13,case GR-Based Inv. Verif.,Supplier2_Comparative_Mining,case GR-Based Inv. Verif.,Additional attribute,Case level,int64,349526,2,"[1, 0]",2,349524,0,0
14,case Item,Supplier2_Comparative_Mining,case Item,Additional attribute,Case level,int64,349526,233,"[1, 10, 20, 30, 100, 40, 50, 60, 70, 80, 90, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 1000, 1010, 1020, 1030, 1040, 1050, 1060, 1070, 1080, 1090, 1100, 480, 490, 500, 510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880]",100,349293,0,0
15,case concept:name,Supplier2_Comparative_Mining,case concept:name,Additional attribute,Case level,string,349526,53733,"['4507016139_00001', '4507016140_00010', '4507016140_00020', '4507016140_00030', <NA>, '4507016900_00050', '4507016901_00010', '4507016902_00010', '4507016902_00020', '4507016902_00030', '4507016902_00040', '4507016902_00050', '4507016903_00010', '4507016903_00100', '4507016903_00110', '4507016903_00120', '4507016903_00130', '4507016903_00020', '4507016903_00030', '4507016903_00040', '4507016903_00050', '4507016903_00060', '4507016903_00070', '4507016903_00080', '4507016903_00090', '4507016904_00010', '4507016904_00020', '4507016905_00010', '4507016905_00020', '4507016905_00030', '4507016906_00010', '4507016907_00010', '4507016907_00020', '4507016907_00030', '4507016908_00010', '4507016909_00010', '4507016909_00020', '4507016910_00010', '4507016910_00100', '4507016910_00020', '4507016910_00030', '4507016910_00040', '4507016910_00050', '4507016910_00060', '4507016910_00070', '4507016910_00080', '4507016910_00090', '4507016911_00010', '4507016912_00010', '4507016912_00020', '4507016913_00010', '4507016914_00010', '4507016915_00010', '4507016915_00020', '4507016915_00030', '4507016916_00010', '4507016917_00010', '4507016917_00020', '4507016917_00030', '4507016918_00010', '4507016918_00020', '4507016918_00030', '4507016919_00010', '4507016919_00020', '4507016920_00010', '4507016920_00020', '4507016921_00010', '4507016921_00020', '4507016921_00030', '4507016921_00040', '4507016921_00050', '4507016921_00060', '4507016921_00070', '4507016922_00010', '4507016923_00010', '4507016924_00010', '4507016925_00010', '4507016925_00100', '4507016925_00110', '4507016925_00120', '4507016925_00130', '4507016925_00140', '4507016925_00020', '4507016925_00030', '4507016925_00040', '4507016925_00050', '4507016925_00060', '4507016925_00070', '4507016925_00080', '4507016925_00090', '4507016926_00010', '4507016926_00100', '4507016926_00110', '4507016926_00120', '4507016926_00130', '4507016926_00140', '4507016926_00150', '4507016926_00160', '4507016926_00170', '4507016926_00020']",100,295793,16078,4.6
16,case Goods Receipt,Supplier2_Comparative_Mining,case Goods Receipt,Additional attribute,Case level,string,349526,1,"['True', <NA>]",2,349525,16078,4.6
17,event User,Supplier2_Comparative_Mining,event User,Additional attribute,Event level,string,349526,333,"[<NA>, 'batch_07', 'batch_03', 'user_029', 'user_030', 'user_019', 'user_002', 'user_006', 'user_061', 'user_257', 'user_077', 'user_052', 'user_039', 'user_107', 'user_020', 'user_059', 'user_031', 'user_045', 'user_262', 'user_012', 'user_212', 'user_013', 'user_007', 'user_141', 'user_044', 'user_049', 'batch_02', 'user_147', 'batch_06', 'user_050', 'user_001', 'user_274', 'user_015', 'user_144', 'user_128', 'user_038', 'user_089', 'user_177', 'user_070', 'user_072', 'user_040', 'user_004', 'user_048', 'user_139', 'batch_00', 'user_125', 'user_122', 'user_023', 'user_362', 'user_085', 'user_186', 'user_087', 'user_105', 'user_082', 'user_066', 'user_053', 'user_084', 'user_086', 'user_121', 'user_079', 'user_152', 'user_102', 'user_078', 'user_076', 'user_258', 'user_088', 'user_363', 'user_142', 'user_126', 'user_120', 'user_095', 'user_096', 'user_101', 'user_080', 'user_094', 'batch_08', 'user_127', 'user_190', 'user_081', 'user_099', 'undefined', 'user_154', 'user_167', 'user_321', 'user_037', 'user_243', 'user_065', 'user_364', 'user_359', 'user_331', 'user_158', 'user_033', 'user_034', 'user_071', 'user_148', 'user_168', 'user_064', 'user_119', 'user_062', 'user_056']",100,349193,103390,29.58
18,event org:resource,Supplier2_Comparative_Mining,event org:resource,Additional attribute,Event level,string,349526,333,"[<NA>, 'batch_07', 'batch_03', 'user_029', 'user_030', 'user_019', 'user_002', 'user_006', 'user_061', 'user_257', 'user_077', 'user_052', 'user_039', 'user_107', 'user_020', 'user_059', 'user_031', 'user_045', 'user_262', 'user_012', 'user_212', 'user_013', 'user_007', 'user_141', 'user_044', 'user_049', 'batch_02', 'user_147', 'batch_06', 'user_050', 'user_001', 'user_274', 'user_015', 'user_144', 'user_128', 'user_038', 'user_089', 'user_177', 'user_070', 'user_072', 'user_040', 'user_004', 'user_048', 'user_139', 'batch_00', 'user_125', 'user_122', 'user_023', 'user_362', 'user_085', 'user_186', 'user_087', 'user_105', 'user_082', 'user_066', 'user_053', 'user_084', 'user_086', 'user_121', 'user_079', 'user_152', 'user_102', 'user_078', 'user_076', 'user_258', 'user_088', 'user_363', 'user_142', 'user_126', 'user_120', 'user_095', 'user_096', 'user_101', 'user_080', 'user_094', 'batch_08', 'user_127', 'user_190', 'user_081', 'user_099', 'undefined', 'user_154', 'user_167', 'user_321', 'user_037', 'user_243', 'user_065', 'user_364', 'user_359', 'user_331', 'user_158', 'user_033', 'user_034', 'user_071', 'user_148', 'user_168', 'user_064', 'user_119', 'user_062', 'user_056']",100,349193,103390,29.58
19,event Cumulative net worth (EUR),Supplier2_Comparative_Mining,event Cumulative net worth (EUR),Additional attribute,Event level,float64,349526,11330,"[72.0, 30957.0, 1157.0, 2386.0, 21699.0, 144.0, 19239.0, 17937.0, 2820.0, 1900.0, 4320.0, 2880.0, nan, 472.0, 397.0, 865.0, 555.0, 249.0, 286.0, 474.0, 0.0, 49.0, 1505.0, 356.0, 160.0, 205.0, 247.0, 288.0, 302.0, 240.0, 2165.0, 1074.0, 1213.0, 178.0, 89.0, 1815.0, 154.0, 121.0, 5736.0, 3507.0, 119.0, 148.0, 363.0, 1468.0, 1257.0, 4464.0, 177.0, 791.0, 954.0, 77.0, 6754.0, 16170.0, 17310.0, 8494.0, 129.0, 90.0, 69.0, 123.0, 583.0, 75.0, 5578.0, 196.0, 1.0, 321.0, 628.0, 551.0, 516.0, 2597.0, 380.0, 831.0, 1188.0, 1357.0, 1166.0, 417.0, 370.0, 2321.0, 4285.0, 546.0, 163.0, 309.0, 2540.0, 661.0, 429.0, 393.0, 1010.0, 1617.0, 593.0, 275.0, 396.0, 168.0, 116.0, 428.0, 395.0, 1072.0, 1266.0, 896.0, 494.0, 548.0, 32154.0, 2267.0]",100,338196,16078,4.6
